longitude,latitude,altitude,lidar(m),height_wgs84(m),cs_photo,co_photo
17.02000827,49.29727448,293.3722,19.576,335.4186,5.931869287,2.372747715
17.02003284,49.29731781,293.291,19.515,335.3372,2.170648743,0.79325025
17.0200578,49.2973603,293.1606,19.382,335.2068,3.746164306,0
17.02008242,49.29740252,293.0136,19.215,335.0596,6.574582945,0.64919125
17.02010699,49.29744447,292.8784,19.072,334.9246,7.5693191,0
17.02013138,49.29748659,292.7606,18.932,334.8066,7.011203293,1.188856211
17.02015552,49.29752868,292.6065,18.811,334.6528,6.956114241,5.705234049
17.02018002,49.29757049,292.4222,18.672,334.4685,6.149137381,1.188856211
17.02020423,49.29761269,292.3074,18.528,334.3535,6.090488869,5.124675807
17.02022899,49.29765496,292.2018,18.42,334.248,9.842207775,1.188378029
17.0202541,49.29769692,292.0806,18.37,334.1266,8.28515331,6.653934475
17.02027898,49.29773898,291.9783,18.246,334.0243,15.567888,6.441991587
17.02030393,49.29778103,291.8694,18.18,333.9156,8.784028441,7.132480622
17.02032837,49.29782244,291.8353,18.116,333.8813,14.09033343,6.440521512
17.02035369,49.29786464,291.7918,17.97,333.8381,17.68874443,10.26710531
17.02037978,49.29790752,291.7596,17.82,333.8057,7.995765002,12.49668058
17.02040471,49.29794935,291.7603,17.659,333.8064,8.906745438,6.63413799
17.0204292,49.2979916,291.7601,17.545,333.8062,9.701793125,2.017674832
17.02045413,49.29803334,291.7229,17.398,333.769,9.663039005,9.033120216
17.02048006,49.29807325,291.6508,17.286,333.697,10.87582491,3.568722617
17.02050964,49.29811408,291.5868,17.211,333.6328,6.410905893,2.197287083
17.02054253,49.29815458,291.4853,17.171,333.5315,6.36746949,1.188330231
17.0205762,49.2981917,291.3756,17.099,333.4217,7.573836833,4.766933615
17.02061146,49.29823153,291.3052,17.087,333.3513,4.849955262,1.393026613
17.02064581,49.29827079,291.2486,17.055,333.2947,6.764341318,1.188330231
17.02067866,49.29830862,291.2637,16.882,333.3097,4.571328118,1.637490669
17.02071273,49.29834784,291.2268,16.674,333.2729,9.907349085,2.378382334
17.02074792,49.29838838,291.2101,16.601,333.2561,5.934252138,3.560551283
17.02078142,49.29842724,291.1932,16.547,333.2392,5.292472021,1.188378029
17.02081495,49.29846612,291.1038,16.497,333.1498,3.693944157,0
17.02084824,49.29850521,291.2629,16.429,333.3089,1.82779917,1.187327381
17.02087986,49.2985422,291.4773,16.396,333.5233,5.252279598,0
17.02091328,49.29858036,291.5039,16.29,333.5499,2.88292498,0.670933806
17.02094612,49.29861912,291.5245,16.145,333.5704,4.014878268,0
17.02097862,49.29865689,291.5628,16.113,333.6088,4.146982384,2.376564877
17.02101183,49.29869566,291.5835,16.027,333.6294,4.551090939,2.373605507
17.02104491,49.29873442,291.5876,16.059,333.6336,9.508554042,1.188569255
17.02107068,49.29876511,291.4684,16.367,333.5144,2.374368509,0
17.02108138,49.29878541,291.3696,16.059,333.4155,4.749309523,1.187327381
17.02109213,49.29880237,291.4384,16.856,333.4844,4.572155936,2.517733869
17.02110925,49.29879952,291.4008,16.986,333.4467,2.311213253,2.373986947
17.02110778,49.29878043,291.3432,16.499,333.3892,10.21819496,0
17.02108928,49.29875465,291.2972,16.295,333.3432,5.752140441,0
17.02107502,49.29872879,291.2969,16.535,333.3427,3.383123153,0
17.02105959,49.29869933,291.2739,17.045,333.3198,9.052684834,0.028437528
17.0210365,49.29865838,291.3869,16.59,333.4329,9.342986531,0.671717986
17.02101091,49.29861362,291.4575,16.482,333.5035,4.993586416,0
17.02098652,49.29857033,291.4241,16.53,333.47,2.325009697,2.370558394
17.02096224,49.29852837,291.4494,16.682,333.4953,5.758136338,1.188186863
17.02093611,49.29848624,291.5184,16.82,333.5644,2.21166076,0
17.02090961,49.29844365,291.6097,16.779,333.6556,9.156838327,1.190388982
17.02088377,49.29840047,291.6843,16.769,333.7303,9.406485348,2.37761675
17.0208593,49.29835748,291.8417,16.838,333.8876,3.568291612,1.189430537
17.02083551,49.29831437,291.8703,16.959,333.9163,7.548060265,1.187900231
17.02081136,49.29827103,291.8719,17.017,333.9178,6.680833981,1.97528185
17.02078669,49.29822773,291.8035,17.05,333.8494,3.64220369,2.375132003
17.02076139,49.29818488,291.7627,17.084,333.8087,7.143485142,1.190580857
17.02073544,49.29814213,291.7978,17.073,333.8438,3.294667273,4.961527848
17.02070967,49.29809927,291.8213,17.154,333.8673,5.379404718,5.754202394
17.02068463,49.29805616,291.7823,17.349,333.8283,7.701178961,2.386065378
17.02065981,49.29801319,291.7109,17.385,333.7569,10.40442082,3.577364638
17.02063472,49.2979704,291.5884,17.51,333.6344,9.121533273,4.765972423
17.02060891,49.29792773,291.5136,17.663,333.5595,5.944447634,5.949273268
17.0205825,49.29788503,291.4912,17.773,333.5372,9.897079037,9.587866369
17.0205571,49.2978428,291.439,17.803,333.485,11.49529251,10.19736788
17.02053226,49.29779966,291.412,17.83,333.4579,22.36448747,9.095340086
17.02050859,49.29775704,291.4291,17.874,333.4751,25.2402033,15.97863295
17.02048417,49.29771422,291.3214,17.968,333.3673,10.24996649,12.35626328
17.02045906,49.29767176,291.2631,18.025,333.309,20.18191679,15.04217368
17.02043411,49.29762957,291.1997,18.091,333.2456,20.00624491,7.482159495
17.02040924,49.29758735,291.2129,18.213,333.2589,12.20500938,7.669092168
17.02038481,49.29754539,291.2186,18.346,333.2646,11.36760486,4.764901397
17.02036067,49.29750472,291.2532,18.42,333.2992,12.30624214,4.498223635
17.02033448,49.29746098,291.2862,18.543,333.3322,9.086790227,5.949308233
17.0203088,49.29741837,291.2168,18.712,333.2627,2.324010315,6.858807369
17.02028421,49.29737735,291.1462,18.848,333.1922,3.067684436,2.427903926
17.02025861,49.2973347,291.1087,18.937,333.1547,5.181181921,3.38666569
17.02023274,49.29729161,290.9709,18.995,333.0167,8.116572895,4.394751202
17.02020789,49.29725014,290.8717,19.12,332.9177,6.501925345,1.188760543
17.02018318,49.2972085,290.7528,19.237,332.7986,2.373319507,3.438270568
17.0201574,49.29716572,290.6108,19.34,332.6566,3.563127659,0
17.0201327,49.29712376,290.4709,19.506,332.5168,5.816262147,2.126041958
17.02010851,49.29708219,290.3679,19.651,332.4138,3.562554809,2.375036539
17.02008375,49.29703954,290.2805,19.695,332.3264,0.67001675,2.603928735
17.02005935,49.29699718,290.2939,19.781,332.3399,7.48445274,1.18656444
17.02003492,49.29695446,290.3353,19.87,332.3813,4.229560871,2.376278163
17.02001034,49.29691195,290.3304,19.886,332.3763,2.519139525,1.187088856
17.01998612,49.29687064,290.3623,19.975,332.4082,2.374368509,0
17.01996124,49.29682809,290.3011,20.125,332.347,1.735472747,1.198329105
17.01993634,49.29678623,290.3301,20.251,332.376,3.55528412,1.187327381
17.01990996,49.29674377,290.3847,20.457,332.4306,1.50147153,0
17.01988412,49.29670215,290.4338,20.677,332.4797,4.629578867,0
17.01985873,49.29666069,290.4402,20.804,332.4861,5.753046375,0
17.01983474,49.29661962,290.4646,20.9,332.5106,2.374559337,0
17.01981154,49.29657786,290.5734,21.051,332.6194,0,0
17.01978836,49.29653654,290.6528,21.117,332.6988,2.376469298,0
17.01976463,49.29649619,290.8112,21.26,332.857,3.435924568,0
17.0197394,49.29645337,290.8877,21.38,332.9337,1.760991645,0
17.01971539,49.29641195,291.0658,21.511,333.1117,3.08783375,1.188330231
